RAW ,EMA-12,EMA-26,TBR-24,VOL-29,MOM-25,Task-2a,Task-2b,Task-2c,Task-2d
346.51,346.4233503,346.4875914,-0.107944599,0.042737756,-37.52,2,1,1,2
346.51,346.4966693,346.5082763,-0.088539338,0.041674923,-41.93,2,1,1,2
344.3,344.6379491,344.4698674,-0.070037544,0.040451258,-35.87,1,1,1,2
344.3,344.3519922,344.3130667,-0.070037544,0.039381993,-25.93,1,1,1,2
345.96,345.7126142,345.8333128,-0.065553845,0.038150793,-14.89,2,1,1,2
352.58,351.5234791,352.0610241,-0.047673068,0.035952822,-13.24,2,1,1,2
355.34,354.7528429,355.0877711,-0.040218243,0.031610225,-12.14,2,1,1,2
354.79,354.7842835,354.8129055,-0.041703806,0.028597744,-14.89,2,1,1,2
349.82,350.5837359,350.2040697,-0.055127893,0.027289633,-14.9,1,1,1,2
340.99,342.4659594,341.6987746,-0.078977933,0.027116106,-19.86,1,1,1,2
339.34,339.8209168,339.5214442,-0.083434622,0.027012355,-27.03,1,1,1,2
331.61,332.873218,332.2185726,-0.093515937,0.026617784,-38.62,1,1,1,2
336.03,335.5443412,335.7368133,-0.073046261,0.026694923,-29.79,2,1,1,2
329.4,330.3452833,329.8874472,-0.073000507,0.02648724,-33.11,1,1,1,2
334.92,334.2161974,334.5328806,-0.057466089,0.0276636,-19.87,2,1,1,2
324.99,326.409415,325.7240677,-0.085411156,0.026598247,-19.86,1,1,1,2
329.96,329.4137562,329.6341591,-0.071424551,0.025797697,-13.79,2,1,1,2
333.82,333.1421163,333.4980122,-0.060561716,0.024377258,-8.83,2,1,1,2
336.03,335.5857102,335.8352317,-0.05434232,0.022621107,-8.27,2,1,1,2
334.92,335.022417,334.9904024,-0.057466089,0.021894664,-9.38,1,1,1,2
340.99,340.0719103,340.5284925,-0.040383858,0.022180695,-7.73,2,1,1,2
349.82,348.3202939,349.1052687,-0.015534418,0.022140555,6.62,2,2,1,1
357.54,356.1215837,356.8911745,0.006191253,0.022545985,14.89,2,2,1,1
353.13,353.5902436,353.4193211,-0.012334284,0.024048045,6.62,1,2,1,1
355.89,355.5361913,355.6999478,-0.004614868,0.024702348,9.38,2,2,1,1
358.65,358.1709525,358.4230729,0.003104548,0.025500498,12.14,2,2,1,1
353.13,353.9055312,353.5371595,-0.01539105,0.02685351,8.83,1,2,1,1
354.79,354.6539279,354.6936277,-0.010762582,0.027314238,10.49,2,2,1,1
355.34,355.2344504,355.2902791,-0.009229053,0.027890808,9.38,2,2,1,1
360.3,359.5206847,359.9146369,0.004600586,0.028475336,7.72,2,2,1,1
363.06,362.51549,362.818049,0.007660283,0.029663324,7.72,2,2,1,1
360.3,360.6408446,360.4936961,-0.007602049,0.031160463,5.51,1,2,1,1
352.58,353.8201299,353.1887459,-0.028865752,0.032097411,2.76,1,1,1,1
355.34,355.1061738,355.1745189,-0.021263703,0.032248326,14.35,2,1,1,1
358.65,358.104796,358.3826553,-0.012146753,0.032418369,19.31,2,2,1,1
363.06,362.2976609,362.7002043,0,0.03270701,31.45,2,2,1,1
365.27,364.8127171,365.0723234,0.006087148,0.033568381,29.24,2,2,1,1
363.06,363.3296488,363.2147941,-0.006050319,0.034899336,33.66,1,2,1,1
364.72,364.5060998,364.6042149,-0.001505735,0.0355786,29.8,2,2,1,1
361.41,361.886323,361.6557088,-0.010567525,0.036182686,36.42,1,2,1,1
362.51,362.4140497,362.4442853,-0.007556054,0.035293851,32.55,2,2,1,1
360.85,361.090623,360.9726373,-0.012100638,0.03488991,27.03,1,2,1,1
365.82,365.0924035,365.4471259,0.001505735,0.03299818,29.79,2,2,1,1
357.54,358.7019082,358.1482405,-0.022634082,0.032246953,22.62,1,1,1,1
354.79,355.391832,355.0483262,-0.030151441,0.028252994,13.8,1,1,1,1
353.13,353.4779742,353.2775636,-0.034689191,0.02483784,3.31,1,1,1,1
353.68,353.6489191,353.6490434,-0.03318572,0.021914678,-3.86,2,1,1,2
351.47,351.8052183,351.6376187,-0.039226942,0.019067627,-1.66,1,1,2,2
343.2,344.5238797,343.8490476,-0.061833689,0.015297988,-12.69,1,1,2,2
337.68,338.7329046,338.1545421,-0.076923077,0.014668552,-20.97,1,1,2,2
344.3,343.4435238,343.8272725,-0.058826745,0.017534201,-8.83,2,1,2,2
352.03,350.7090037,351.399021,-0.037696135,0.018748852,-2.76,2,1,2,2
350.37,350.4221544,350.4491555,-0.042233886,0.018819077,-4.97,2,1,2,2
353.13,352.7134084,352.9237812,-0.034689191,0.019093808,-7.17,2,1,2,2
353.13,353.065909,353.114137,-0.034689191,0.019131183,-9.93,2,1,2,2
358.1,357.3255245,357.7164721,-0.021103275,0.019121979,-2.2,2,1,2,2
359.75,359.3770038,359.5935748,-0.01659286,0.019125486,7.17,2,2,2,1
357.54,357.822616,357.6979673,-0.022634082,0.01920052,2.2,1,1,2,1
359.2,358.9880948,359.084459,-0.018096332,0.019098495,0.55,2,2,2,1
362.51,361.9681684,362.2464968,-0.009048166,0.018819194,-0.55,2,2,2,2
355.89,356.8251028,356.3789613,-0.027144497,0.018998265,-9.38,1,1,2,2
358.65,358.3692466,358.4753047,-0.019599803,0.018885512,-4.41,2,2,2,2
358.1,358.1414226,358.1288696,-0.021103275,0.018908727,-6.62,1,1,2,2
358.1,358.1063727,358.1022207,-0.021103275,0.018894159,-3.31,1,1,2,2
360.85,360.4279035,360.6386324,-0.013585917,0.018585131,-1.66,2,2,2,2
361.96,361.7242928,361.8583563,-0.010551637,0.018126811,1.11,2,2,2,1
361.41,361.4583527,361.4444889,-0.003034399,0.01802004,-4.41,1,2,2,2
363.06,362.8135927,362.9357299,0.0015172,0.017655375,5.52,2,2,2,1
371.34,370.028245,370.6935177,0.022806148,0.017801587,16.55,2,2,2,1
375.2,374.4043454,374.8533475,0.010394786,0.019216521,22.07,2,2,2,1
375.2,375.0775916,375.1733344,0,0.02144529,21.52,2,2,1,1
377.41,377.0511679,377.2379488,0.005890192,0.023009316,25.94,2,2,1,1
377.96,377.8201797,377.9044576,0.001457301,0.025238063,34.76,2,2,1,1
380.72,380.2738738,380.5034198,0.00730236,0.027148519,43.04,2,2,1,1
381.27,381.1167498,381.2110323,0.001444631,0.029153981,36.97,2,2,1,1
380.72,380.7810384,380.7577717,-0.001442547,0.030907573,28.69,1,2,1,1
383.48,383.0647751,383.2705978,0.005796417,0.032046613,33.11,2,2,1,1
384.58,384.3468885,384.4792768,0.002868468,0.032218541,31.45,2,2,1,1
379.06,379.8733675,379.4768674,-0.014353321,0.030942751,25.93,1,2,1,1
380.72,380.5897488,380.6243744,-0.010036923,0.029677762,22.62,2,2,1,1
377.96,378.3645767,378.1649519,-0.017213584,0.029545407,18.21,1,2,1,1
377.96,378.0222426,377.9757655,-0.017213584,0.028606875,20.42,1,2,1,1
377.96,377.9695758,377.9612127,-0.017213584,0.027847417,18.76,1,2,1,1
380.17,379.8314732,380.0000933,-0.011467055,0.02685546,17.66,2,2,1,1
379.06,379.1786882,379.1323149,-0.014353321,0.026558437,23.17,1,2,1,1
376.86,377.2167213,377.0347935,-0.020073847,0.026211423,18.21,1,1,1,1
376.86,376.9148802,376.8734457,-0.020073847,0.025292736,18.76,1,1,1,1
376.86,376.8684431,376.8610343,-0.020073847,0.024460235,18.76,1,1,1,1
374.1,374.5259143,374.3123873,-0.027250507,0.02393958,13.25,1,1,1,1
375.2,375.0962945,375.1317221,-0.024390244,0.022175905,13.24,2,1,1,1
371.89,372.3832761,372.1393632,-0.032997036,0.020729869,10.48,1,1,1,1
368.58,369.1651194,368.8537972,-0.041603828,0.018998908,5.52,1,1,2,1
376.86,375.6761722,376.2441382,-0.020073847,0.017238461,5.52,2,1,2,1
370.79,371.5417188,371.2095491,-0.035857299,0.015559218,-4.41,1,1,2,2
368.03,368.5702644,368.2745807,-0.043033959,0.014097062,-7.17,1,1,2,2
365.82,366.2431176,366.0088139,-0.048780488,0.012642354,-11.59,1,1,2,2
365.27,365.4197104,365.3268318,-0.050210619,0.011958136,-12.69,1,1,2,2
362.51,362.9576478,362.7266794,-0.05738728,0.012966081,-18.21,1,1,2,2
373.55,371.9204073,372.7174369,-0.028680639,0.014647221,-7.72,2,1,2,2
374.65,374.2300627,374.5013413,-0.025820375,0.014689152,-6.07,2,1,2,2
375.2,375.0507789,375.146257,-0.024390244,0.014678526,-8.28,2,1,2,2
373.55,373.7808891,373.672789,-0.018832738,0.014639913,-11.03,1,2,2,2
374.1,374.050906,374.0671376,-0.017388107,0.014440448,-4.96,2,2,2,2
375.2,375.0232163,375.1128567,-0.013073099,0.014133541,-5.52,2,2,2,2
373.55,373.7766487,373.6702197,-0.017413262,0.013844608,-4.41,1,2,2,2
374.65,374.5156383,374.5746323,-0.01451982,0.013143172,-3.31,2,2,2,2
370.23,370.889329,370.5642025,-0.026146198,0.012105074,-7.73,1,1,2,2
374.65,374.0714352,374.3357079,-0.011634042,0.011992973,-5.52,2,2,2,2
374.1,374.0956054,374.1181314,-0.007323675,0.011480393,-4.96,2,2,2,2
372.44,372.6947085,372.569087,-0.011728493,0.011273144,-4.42,1,2,2,2
370.79,371.0830321,370.9268528,-0.016106777,0.011053617,-6.07,1,2,2,2
370.23,370.3612357,370.2836041,-0.01759274,0.010861207,-6.63,1,2,2,2
368.58,368.8540363,368.7110465,-0.021971024,0.01031189,-5.52,1,1,2,2
380.72,378.8944671,379.7962343,0.01024253,0.009962481,5.52,2,2,2,1
379.61,379.499918,379.6243257,-0.002915528,0.010578068,7.72,2,2,2,1
393.41,391.2699874,392.3495635,0.033331582,0.010937164,24.83,2,2,2,1
391.2,391.2107673,391.288428,-0.005617549,0.014939869,14.34,2,2,2,1
392.31,392.1408873,392.2314175,-0.002796065,0.017393968,21.52,2,2,2,1
400.58,399.281675,399.9378013,0.018225261,0.019626524,32.55,2,2,2,1
402.24,401.7848731,402.0629078,0.004143991,0.02339404,36.42,2,2,1,1
404.44,404.0315189,404.2571468,0.005469372,0.026503158,39.17,2,2,1,1
407.2,406.7125414,406.9736267,0.006824251,0.029746512,44.69,2,2,1,1
406.1,406.1942371,406.1672021,-0.002701375,0.03275892,32.55,1,2,1,1
